Receive Date,AMIC ID,Commodity,NOS,Origin Protein,Leco Protein,WGA Protein
6/5/2023,2001-23-002714,HRS,SAGI240001,15.06,14.94,15
6/6/2023,2001-23-002732,Other,NOVA240001,,14.64,14.5
6/7/2023,2001-23-002729,HRS,OMAN240005,14,14.13,14.1
6/7/2023,2001-23-002765,Other,HAST240003,14.1,14.3,14.1
6/7/2023,2001-23-002766,Other,MONT240001,,13.72,13.2
6/7/2023,2001-23-002772,HRS,SAGI240003,15.02,15.36,15.1
6/8/2023,2001-23-002774,HRS,MTPO240005,14.5,14.88,14.4
6/8/2023,2001-23-002775,Other,MISS240001,,14.59,14.3
6/9/2023,2001-23-002784,HRW,PORT240002,11.4,11.34,11.3
6/9/2023,2001-23-002785,HRW,PORT240001,11.4,11.54,11.1
6/13/2023,2001-23-002808,HRW,MANK240001,13.34,13.49,13.3
6/13/2023,2001-23-002809,HRW,PORT240003,11.8,11.48,11.4
6/13/2023,2001-23-002810,HRW,KENO240002,12.89,12.89,12.9
6/13/2023,2001-23-002811,Other,AMCC240001,12.38,13.07,12.8
6/15/2023,2001-23-002854,HRS,MTPO240002,10.94,9.99,10.1
6/16/2023,2001-23-002885,HRW,LAKE240003,14.17,14.61,14
6/16/2023,2001-23-002886,HRS,CHAT240012 AYER240005 KENO240005,14.6,14.95,14.7
6/19/2023,2001-23-002910,HRS,ALBA240001,15.09,15.33,14.8
6/19/2023,2001-23-002911,HRS,MART240018,15.13,15.51,15.1
6/21/2023,2001-23-002938,HRW,CULP240005,14.03,14.18,14
6/21/2023,2001-23-002941,HRS,HOUS240001 OMAN240009 SAGI240013,14.05,14.32,13.9
6/21/2023,2001-23-002942,Other,MISS240003,,14.12,14.4
6/21/2023,2001-23-002943,HRS,PORT240007,14.02,14.02,14.1
6/21/2023,2001-23-002944,HRS,KENO240008,13.52,13.52,13.3
6/22/2023,2001-23-002965,HRS,KENO240011,14,14.32,14.3
6/22/2023,2001-23-002966,HRS,MTPO240018 AYER240008,14.54,15.03,14.6
6/23/2023,2001-23-002982,HRW,PORT240005,12.8,13.15,13.2
6/23/2023,2001-23-002983,HRW,"SANB240001, STOC240002, COLT240005",12.53,12.58,12.4
6/23/2023,2001-23-002984,HRW,PORT240006,11.8,12.21,12.2
