Receive Date,AMIC ID,Origin Protein,Leco Protein,WGA Protein
6/1/2017,10001,12,12.05,12.12
6/1/2017,10002,12.1,11.76,12.1
6/1/2017,10004,14,13.93,13.95
6/1/2017,10005,15.13,15.26,15.29
6/2/2017,10007,15.35,15.34,15.3
6/2/2017,10009,14.12,14.26,14.17
6/2/2017,10010,11.51,11.33,11.45
6/2/2017,10012,14.04,14.2,14.09
6/2/2017,10013,12.13,12.3,12.08
6/2/2017,10014,11.93,12.08,12.14
6/2/2017,10016,14,14.03,14.09
6/2/2017,10018,13.77,13.95,13.8
6/5/2017,10019,12,12.46,11.94
6/5/2017,10021,12,12.03,12.02
6/6/2017,10027,14,13.9,14.29
6/6/2017,10028,13.24,13.45,13.29
6/6/2017,10037,14.8,14.94,15.11
6/6/2017,10038,11.4,11.13,11.23
6/6/2017,10039,13.9,14.12,13.91
6/6/2017,10040,13.8,14.06,13.83
6/8/2017,10045,12.1,11.88,12.06
6/8/2017,10046,12,12.25,12.07
6/8/2017,10047,14.95,14.97,15.13
6/9/2017,10049,14.14,14.2,14.12
6/9/2017,10050,13.79,13.99,13.8
6/9/2017,10051,14.16,14.16,14.4
6/9/2017,10052,14.2,14.34,14.05
6/9/2017,10053,11.7,11.68,11.66
6/9/2017,10054,12.5,12.54,12.44
6/12/2017,10056,11.53,11.41,11.55
6/12/2017,10057,13.8,14.12,13.96
6/12/2017,10059,11.9,11.84,11.88
6/12/2017,10060,14,14.08,14.24
6/12/2017,10061,11.9,12,12.06
6/12/2017,10062,11.5,11.68,11.61
6/13/2017,10065,15.11,15.27,15.2
6/13/2017,10068,14.15,14.46,14.2
6/13/2017,10069,14,14.25,14.2
6/13/2017,10070,14.28,14.52,14.4
6/13/2017,10073,13.1,13.05,12.8
6/14/2017,10075,14.1,14.11,14.1
6/15/2017,10077,14.01,14,14.2
6/15/2017,10078,14.08,14.1,14.1
6/15/2017,10081,14.02,14.09,14
6/15/2017,10082,13.58,13.64,13.5
6/15/2017,10083,13.54,13.49,13.5
6/15/2017,10084,14.8,14.62,14.8
6/16/2017,10086,11.58,11.68,11.7
6/16/2017,10088,13.8,13.93,13.9
6/16/2017,10089,13.91,14.15,13.8
6/16/2017,10090,10.2,10.35,10.2
6/16/2017,10091,12.2,12.03,12.1
6/19/2017,10093,14,14.14,14
6/19/2017,10094,14.01,13.95,14.1
6/19/2017,10095,14.03,14.02,14.1
6/19/2017,10096,11.6,11.36,11.5
6/19/2017,10097,12.8,12.71,12.9
6/19/2017,10098,14.1,14.15,14.1
6/19/2017,10100,12,12.18,12.2
6/20/2017,10105,12,12.19,12.4
6/20/2017,10106,11.56,11.51,11.6
6/20/2017,10108,13.5,13.58,13.5
6/20/2017,10109,13.32,13.33,13.3
6/20/2017,10112,14,13.97,14.2
6/21/2017,10114,10.7,10.85,10.8
6/21/2017,10116,13.98,14,14.1
6/21/2017,10117,14.08,13.89,14.2
6/22/2017,10121,14.15,14.01,14.2
6/22/2017,10122,14.05,14.2,14.1
6/22/2017,10123,10.4,10.63,10.4
6/22/2017,10124,14.1,14.41,14.4
6/22/2017,10125,14,14.06,14
6/22/2017,10126,12.8,12.88,12.5
6/22/2017,10127,13.8,13.43,13.6
6/23/2017,10128,14,14.08,14
6/23/2017,10129,12.2,12.11,12.2
6/23/2017,10130,14.05,14.13,14.1
6/23/2017,10132,15.45,15.58,15.5
6/23/2017,10133,11.6,11.64,11.5
6/23/2017,10136,10.04,10.18,10.2
6/23/2017,10137,9.81,9.88,9.8
6/23/2017,10140,14.05,14.17,14
6/26/2017,10141,15.21,15,14.9
6/26/2017,10142,13.89,14.23,13.9
6/26/2017,10143,13.61,13.73,13.8
6/26/2017,10145,14.02,14.06,14.1
6/26/2017,10147,11.3,11.4,11.4
6/26/2017,10148,14.4,14.78,14.4
6/26/2017,10149,12.3,12.16,12.2
6/26/2017,10150,13.5,13.69,13.5
6/26/2017,10151,14,14.09,14
6/26/2017,10152,13.6,13.67,13.8
6/27/2017,10153,14,14.41,14.3
6/27/2017,10156,14.35,14.47,14.4
6/27/2017,10157,13.5,13.66,13.6
6/27/2017,10158,15.69,15.76,15.7
6/27/2017,10160,12.2,12.33,12.2
6/28/2017,10161,14.02,14.14,14.1
6/29/2017,10166,15,14.86,15
6/29/2017,10167,15,14.97,15.1
6/29/2017,10168,14,13.82,14
6/29/2017,10169,14.15,14.24,14.2
6/29/2017,10171,15,15.12,15.2
6/29/2017,10172,12.1,12.09,11.9
6/29/2017,10174,11.3,11.52,11.2
6/30/2017,10176,15,15.13,15.3
6/30/2017,10177,14.04,14.58,14.4
6/30/2017,10178,15.01,14.97,15
6/30/2017,10179,14.53,14.18,14.3
6/30/2017,10180,15.02,14.98,15.1
6/30/2017,10184,14.79,14.59,14.8
6/30/2017,10187,14.2,14.32,14.1
7/3/2017,10189,13.23,13.1,13.4
7/3/2017,10190,14.03,14.11,14.2
7/3/2017,10191,13.98,13.99,14.1
7/3/2017,10192,13.6,13.98,14
7/6/2017,10197,14.06,14.22,14.1
7/6/2017,10199,14.1,14.38,14.2
7/6/2017,10200,14.01,14.31,14.1
7/6/2017,10201,13.99,14.22,14.1
7/6/2017,10202,14,13.91,14.1
7/7/2017,10205,14,13.82,13.9
7/7/2017,10206,13.63,13.59,13.6
7/7/2017,10207,13.55,13.39,13.6
7/7/2017,10210,11.8,11.81,11.8
7/7/2017,10211,11.8,11.68,11.9
7/11/2017,10227,14.35,14.6,14.4
7/11/2017,10229,14.19,14.22,14.3
7/11/2017,10231,11.5,11.72,11.7
7/11/2017,10233,11.5,11.57,11.7
7/11/2017,10236,11.6,11.49,11.5
7/11/2017,10237,10.5,10.54,10.3
7/11/2017,10238,11.5,11.5,11.7
7/12/2017,10242,13.3,13.48,13.5
7/12/2017,10243,14.3,14.43,14.5
